"LGA_CODE_2017","LGA_NAME_2017","PHN_CODE_2017","PHN_NAME_2017","RATIO","PERCENTAGE"
30250,"Aurukun (S)","PHN307","Northern Queensland",1,100
30300,"Balonne (S)","PHN305","Western Queensland",1,100
30370,"Banana (S)","PHN304","Darling Downs and West Moreton",0.0646564,6.4656376
30370,"Banana (S)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",0.9353436,93.5343624
30410,"Barcaldine (R)","PHN305","Western Queensland",1,100
30450,"Barcoo (S)","PHN305","Western Queensland",1,100
30760,"Blackall-Tambo (R)","PHN305","Western Queensland",1,100
30900,"Boulia (S)","PHN305","Western Queensland",1,100
31000,"Brisbane (C)","PHN301","Brisbane North",0.4538373,45.3837257
31000,"Brisbane (C)","PHN302","Brisbane South",0.5406962,54.0696157
31000,"Brisbane (C)","PHN304","Darling Downs and West Moreton",0.0054666,0.5466586
31750,"Bulloo (S)","PHN305","Western Queensland",1,100
31820,"Bundaberg (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
31900,"Burdekin (S)","PHN307","Northern Queensland",1,100
31950,"Burke (S)","PHN305","Western Queensland",1,100
32080,"Cairns (R)","PHN307","Northern Queensland",1,100
32250,"Carpentaria (S)","PHN305","Western Queensland",1,100
32260,"Cassowary Coast (R)","PHN307","Northern Queensland",1,100
32270,"Central Highlands (R) (Qld)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
32310,"Charters Towers (R)","PHN307","Northern Queensland",1,100
32330,"Cherbourg (S)","PHN304","Darling Downs and West Moreton",1,100
32450,"Cloncurry (S)","PHN305","Western Queensland",1,100
32500,"Cook (S)","PHN307","Northern Queensland",1,100
32600,"Croydon (S)","PHN307","Northern Queensland",1,100
32750,"Diamantina (S)","PHN305","Western Queensland",1,100
32770,"Doomadgee (S)","PHN305","Western Queensland",1,100
32810,"Douglas (S)","PHN307","Northern Queensland",1,100
33100,"Etheridge (S)","PHN307","Northern Queensland",1,100
33200,"Flinders (S) (Qld)","PHN307","Northern Queensland",1,100
33220,"Fraser Coast (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
33360,"Gladstone (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
33430,"Gold Coast (C)","PHN303","Gold Coast",1,100
33610,"Goondiwindi (R)","PHN304","Darling Downs and West Moreton",1,100
33620,"Gympie (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
33800,"Hinchinbrook (S)","PHN307","Northern Queensland",1,100
33830,"Hope Vale (S)","PHN307","Northern Queensland",1,100
33960,"Ipswich (C)","PHN304","Darling Downs and West Moreton",1,100
33980,"Isaac (R)","PHN307","Northern Queensland",1,100
34420,"Kowanyama (S)","PHN307","Northern Queensland",1,100
34530,"Livingstone (S)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
34570,"Lockhart River (S)","PHN307","Northern Queensland",1,100
34580,"Lockyer Valley (R)","PHN304","Darling Downs and West Moreton",1,100
34590,"Logan (C)","PHN302","Brisbane South",1,100
34710,"Longreach (R)","PHN305","Western Queensland",1,100
34770,"Mackay (R)","PHN307","Northern Queensland",1,100
34800,"McKinlay (S)","PHN305","Western Queensland",1,100
34830,"Mapoon (S)","PHN307","Northern Queensland",1,100
34860,"Maranoa (R)","PHN305","Western Queensland",1,99.9999998
34880,"Mareeba (S)","PHN307","Northern Queensland",1,100
35010,"Moreton Bay (R)","PHN301","Brisbane North",1,100
35250,"Mornington (S)","PHN305","Western Queensland",1,100
35300,"Mount Isa (C)","PHN305","Western Queensland",1,100
35600,"Murweh (S)","PHN305","Western Queensland",1,100
35670,"Napranum (S)","PHN307","Northern Queensland",1,100
35740,"Noosa (S)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
35760,"North Burnett (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
35780,"Northern Peninsula Area (R)","PHN307","Northern Queensland",1,100
35790,"Palm Island (S)","PHN307","Northern Queensland",1,100
35800,"Paroo (S)","PHN305","Western Queensland",1,100
36070,"Pormpuraaw (S)","PHN307","Northern Queensland",1,100
36150,"Quilpie (S)","PHN305","Western Queensland",1,100
36250,"Redland (C)","PHN302","Brisbane South",1,100
36300,"Richmond (S)","PHN307","Northern Queensland",1,100
36370,"Rockhampton (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
36510,"Scenic Rim (R)","PHN302","Brisbane South",0.3501918,35.0191813
36510,"Scenic Rim (R)","PHN303","Gold Coast",0.3535526,35.3552647
36510,"Scenic Rim (R)","PHN304","Darling Downs and West Moreton",0.2962555,29.625554
36580,"Somerset (R)","PHN301","Brisbane North",0.1844372,18.4437238
36580,"Somerset (R)","PHN304","Darling Downs and West Moreton",0.8155628,81.5562762
36630,"South Burnett (R)","PHN304","Darling Downs and West Moreton",1,100
36660,"Southern Downs (R)","PHN304","Darling Downs and West Moreton",1,100
36720,"Sunshine Coast (R)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
36820,"Tablelands (R)","PHN307","Northern Queensland",1,100
36910,"Toowoomba (R)","PHN304","Darling Downs and West Moreton",1,100
36950,"Torres (S)","PHN307","Northern Queensland",1,100
36960,"Torres Strait Island (R)","PHN307","Northern Queensland",1,100
37010,"Townsville (C)","PHN307","Northern Queensland",1,100
37300,"Weipa (T)","PHN307","Northern Queensland",1,100
37310,"Western Downs (R)","PHN304","Darling Downs and West Moreton",1,100
37340,"Whitsunday (R)","PHN307","Northern Queensland",1,100
37400,"Winton (S)","PHN305","Western Queensland",1,100
37550,"Woorabinda (S)","PHN306","Central Queensland, Wide Bay, Sunshine Coast",1,100
37570,"Wujal Wujal (S)","PHN307","Northern Queensland",1,100
37600,"Yarrabah (S)","PHN307","Northern Queensland",1,100
40070,"Adelaide (C)","PHN401","Adelaide",1,100
40120,"Adelaide Hills (DC)","PHN402","Country SA",1,100
40220,"Alexandrina (DC)","PHN402","Country SA",1,100
40250,"Anangu Pitjantjatjara (AC)","PHN402","Country SA",1,100
40310,"Barossa (DC)","PHN402","Country SA",1,100
40430,"Barunga West (DC)","PHN402","Country SA",1,100
40520,"Berri and Barmera (DC)","PHN402","Country SA",1,100
40700,"Burnside (C)","PHN401","Adelaide",1,100
40910,"Campbelltown (C) (SA)","PHN401","Adelaide",1,100
41010,"Ceduna (DC)","PHN402","Country SA",1,100
41060,"Charles Sturt (C)","PHN401","Adelaide",1,100
41140,"Clare and Gilbert Valleys (DC)","PHN402","Country SA",1,100
41190,"Cleve (DC)","PHN402","Country SA",1,100
41330,"Coober Pedy (DC)","PHN402","Country SA",1,100
41560,"Copper Coast (DC)","PHN402","Country SA",1,100
41750,"Elliston (DC)","PHN402","Country SA",1,100
41830,"Flinders Ranges (DC)","PHN402","Country SA",1,100
41960,"Franklin Harbour (DC)","PHN402","Country SA",1,100
42030,"Gawler (T)","PHN402","Country SA",1,100
42110,"Goyder (DC)","PHN402","Country SA",1,100
